"GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","ET2001","ET2002","ET2003","ET2004","ET2005","ET2006","ET2007","ET2008","ET2009","ET2010"
"G1100010000202205","G1100010000202",11001,11,1,202,"205",114,1,0,0,2,5,0,0,0,1
"G1100010000202206","G1100010000202",11001,11,1,202,"206",76,2,0,3,0,2,0,0,0,0
"G1100010000202207","G1100010000202",11001,11,1,202,"207",75,0,1,5,0,3,0,0,0,0
"G1100010000202208","G1100010000202",11001,11,1,202,"208",95,2,0,3,0,6,1,0,1,0
"G1100010000202209","G1100010000202",11001,11,1,202,"209",107,2,0,4,0,1,0,0,0,1
"G1100010000202301","G1100010000202",11001,11,1,202,"301",92,0,0,1,0,5,0,0,1,3
"G1100010000202302","G1100010000202",11001,11,1,202,"302",53,0,0,0,0,0,0,0,0,0
"G1100010000202303","G1100010000202",11001,11,1,202,"303",55,0,0,2,0,6,0,0,1,1
"G1100010000202304","G1100010000202",11001,11,1,202,"304",78,2,0,7,0,7,0,1,1,0
"G1100010000202305","G1100010000202",11001,11,1,202,"305",11,2,0,0,0,1,0,0,0,0
"G1100010000202306","G1100010000202",11001,11,1,202,"306",44,1,0,5,0,1,0,0,0,0
"G1100010000202401","G1100010000202",11001,11,1,202,"401",105,4,0,2,0,11,0,0,0,1
"G1100010000202402","G1100010000202",11001,11,1,202,"402",2,0,0,0,0,0,0,0,0,0
"G1100010000202403","G1100010000202",11001,11,1,202,"403",2,1,0,0,0,0,0,0,0,0
"G1100010000202405","G1100010000202",11001,11,1,202,"405",57,2,0,1,0,2,0,0,0,0
"G1100010000202406","G1100010000202",11001,11,1,202,"406",150,6,0,21,0,0,0,0,0,0
"G1100010000202407","G1100010000202",11001,11,1,202,"407",12,1,0,0,0,5,0,0,1,0
"G1100010000202408","G1100010000202",11001,11,1,202,"408",60,2,0,0,0,6,0,0,0,0
"G1100010000202501","G1100010000202",11001,11,1,202,"501",83,2,0,0,1,6,0,0,0,2
"G1100010000202502","G1100010000202",11001,11,1,202,"502",89,0,0,0,0,1,0,0,0,0
"G1100010000202503","G1100010000202",11001,11,1,202,"503",102,1,0,0,0,4,0,0,1,0
"G1100010000202504","G1100010000202",11001,11,1,202,"504",78,3,0,2,0,5,0,0,0,0
"G1100010000202505","G1100010000202",11001,11,1,202,"505",95,0,0,2,0,5,0,0,0,0
"G1100010000202506","G1100010000202",11001,11,1,202,"506",65,0,0,0,0,1,0,0,0,0
"G1100010000202507","G1100010000202",11001,11,1,202,"507",32,0,0,0,0,0,0,0,0,0
"G1100010000202601","G1100010000202",11001,11,1,202,"601",83,5,0,3,0,1,0,0,0,0
"G1100010000202602","G1100010000202",11001,11,1,202,"602",59,2,0,3,0,2,0,0,0,0
"G1100010000202603","G1100010000202",11001,11,1,202,"603",16,1,0,0,0,0,0,0,0,0
"G1100010000202604","G1100010000202",11001,11,1,202,"604",75,0,0,2,0,2,0,0,0,1
"G1100010000202605","G1100010000202",11001,11,1,202,"605",3,0,0,1,0,0,0,0,0,0
"G1100010000202606","G1100010000202",11001,11,1,202,"606",66,2,1,3,0,0,0,0,1,0
"G1100010000202607","G1100010000202",11001,11,1,202,"607",7,0,0,2,0,0,0,0,0,0
"G1100010000202609","G1100010000202",11001,11,1,202,"609",34,0,1,5,0,2,0,0,0,0
"G1100010000310101","G1100010000310",11001,11,1,310,"101",207,3,0,5,0,9,0,0,0,5
"G1100010000310102","G1100010000310",11001,11,1,310,"102",58,1,0,2,0,6,4,0,0,7
"G1100010000310103","G1100010000310",11001,11,1,310,"103",150,5,0,3,0,6,0,0,0,2
"G1100010000310107","G1100010000310",11001,11,1,310,"107",212,7,0,8,0,5,1,0,0,0
"G1100010000310108","G1100010000310",11001,11,1,310,"108",87,2,0,4,0,4,0,0,0,0
"G1100010000310201","G1100010000310",11001,11,1,310,"201",147,3,0,10,0,3,0,1,0,0
"G1100010000310202","G1100010000310",11001,11,1,310,"202",124,4,0,6,1,4,1,0,0,0
"G1100010000310203","G1100010000310",11001,11,1,310,"203",92,4,0,6,0,3,0,0,0,0
"G1100010000310204","G1100010000310",11001,11,1,310,"204",108,1,0,6,0,0,0,0,0,2
"G1100010000310206","G1100010000310",11001,11,1,310,"206",37,0,0,1,0,0,0,0,0,0
"G1100010000310301","G1100010000310",11001,11,1,310,"301",812,24,3,32,0,29,1,0,0,6
"G1100010000310303","G1100010000310",11001,11,1,310,"303",105,1,0,3,1,1,0,0,0,0
"G1100010000310304","G1100010000310",11001,11,1,310,"304",87,0,0,1,0,4,1,0,0,1
"G1100010000310305","G1100010000310",11001,11,1,310,"305",81,7,0,2,0,10,0,0,0,0
"G1100010000310306","G1100010000310",11001,11,1,310,"306",119,1,0,4,1,3,0,0,0,0
"G1100010000310401","G1100010000310",11001,11,1,310,"401",113,1,0,14,1,6,0,0,0,0
"G1100010000310402","G1100010000310",11001,11,1,310,"402",199,2,0,13,0,3,0,0,0,0
"G1100010000310403","G1100010000310",11001,11,1,310,"403",175,1,0,5,0,7,0,0,0,2
"G1100010000310404","G1100010000310",11001,11,1,310,"404",108,4,0,2,0,2,0,0,0,1
"G1100010000310405","G1100010000310",11001,11,1,310,"405",85,3,0,1,0,4,1,0,0,0
"G1100010000310406","G1100010000310",11001,11,1,310,"406",91,4,0,3,0,0,0,0,0,1
"G1100010000310407","G1100010000310",11001,11,1,310,"407",168,1,1,6,0,6,0,0,0,1
"G1100010000310408","G1100010000310",11001,11,1,310,"408",119,6,0,3,0,3,0,0,0,0
"G1100010000310409","G1100010000310",11001,11,1,310,"409",0,0,0,0,0,0,0,0,0,0
"G1100010000310410","G1100010000310",11001,11,1,310,"410",106,2,0,5,0,2,0,0,0,1
"G1100010000310411","G1100010000310",11001,11,1,310,"411",111,3,0,2,0,1,1,0,0,4
"G1100010000310412","G1100010000310",11001,11,1,310,"412",107,1,0,1,0,4,0,0,0,0
"G1100010000310508","G1100010000310",11001,11,1,310,"508",521,46,1,43,1,29,3,0,2,15
"G1100010000310509","G1100010000310",11001,11,1,310,"509",110,19,0,6,1,12,4,0,0,11
"G1100010000310510","G1100010000310",11001,11,1,310,"510",48,8,0,2,0,2,0,0,0,0
"G1100010000310511","G1100010000310",11001,11,1,310,"511",183,10,2,2,0,8,0,0,0,7
"G1100010000310512","G1100010000310",11001,11,1,310,"512",136,4,1,3,0,5,0,0,0,3
"G1100010000310513","G1100010000310",11001,11,1,310,"513",116,8,0,4,0,9,0,0,0,0
"G1100010000310514","G1100010000310",11001,11,1,310,"514",124,0,0,0,0,5,0,0,0,0
"G11000100004101","G11000100004",11001,11,1,4,"101",5,0,0,0,0,0,0,0,0,0
"G11000100004102","G11000100004",11001,11,1,4,"102",39,0,2,1,0,3,0,0,0,0
"G11000100004103","G11000100004",11001,11,1,4,"103",38,2,0,2,0,4,0,0,0,0
"G11000100004104","G11000100004",11001,11,1,4,"104",9,0,0,7,0,0,0,0,0,0
"G11000100004105","G11000100004",11001,11,1,4,"105",53,0,0,1,0,3,0,0,0,0
"G11000100004106","G11000100004",11001,11,1,4,"106",39,4,1,0,0,0,0,0,1,0
"G11000100004108","G11000100004",11001,11,1,4,"108",16,0,0,0,0,1,0,0,0,0
"G11000100004109","G11000100004",11001,11,1,4,"109",42,0,0,1,0,5,0,0,0,0
"G11000100004110","G11000100004",11001,11,1,4,"110",27,0,0,0,0,1,0,0,0,0
"G11000100004111","G11000100004",11001,11,1,4,"111",37,3,1,2,0,0,0,0,0,0
"G11000100004112","G11000100004",11001,11,1,4,"112",42,0,0,0,0,3,0,0,0,0
"G11000100004115","G11000100004",11001,11,1,4,"115",53,1,0,5,0,5,0,0,0,0
"G11000100004116","G11000100004",11001,11,1,4,"116",20,1,0,0,0,2,0,0,0,0
"G11000100004117","G11000100004",11001,11,1,4,"117",24,0,0,0,0,1,0,0,0,0
"G11000100004118","G11000100004",11001,11,1,4,"118",56,0,0,5,0,1,0,0,1,0
"G11000100004120","G11000100004",11001,11,1,4,"120",16,0,0,0,0,0,0,0,0,0
"G11000100004121","G11000100004",11001,11,1,4,"121",36,1,1,3,0,0,0,0,0,0
"G11000100004201","G11000100004",11001,11,1,4,"201",17,0,0,0,1,0,0,0,0,0
"G11000100004202","G11000100004",11001,11,1,4,"202",10,4,0,4,0,1,0,0,0,0
"G11000100004203","G11000100004",11001,11,1,4,"203",2,0,0,5,0,0,0,0,0,0
"G11000100004204","G11000100004",11001,11,1,4,"204",10,0,0,3,0,21,0,0,0,0
"G11000100004205","G11000100004",11001,11,1,4,"205",5,10,0,2,0,5,0,0,0,0
"G11000100004206","G11000100004",11001,11,1,4,"206",24,6,0,3,0,6,0,0,0,0
"G11000100004207","G11000100004",11001,11,1,4,"207",21,0,0,0,0,3,0,0,0,0
"G11000100004209","G11000100004",11001,11,1,4,"209",8,0,0,1,0,0,0,0,0,0
"G11000100004210","G11000100004",11001,11,1,4,"210",24,6,0,6,0,0,0,0,0,0
"G11000100004211","G11000100004",11001,11,1,4,"211",35,0,0,0,0,0,0,0,0,0
"G11000100004212","G11000100004",11001,11,1,4,"212",81,0,0,4,0,6,0,0,0,1
"G11000100004213","G11000100004",11001,11,1,4,"213",15,1,0,3,0,2,0,0,0,0
"G11000100004214","G11000100004",11001,11,1,4,"214",24,1,0,0,0,0,0,0,0,0
"G11000100004215","G11000100004",11001,11,1,4,"215",111,4,0,4,0,3,0,0,0,0
"G11000100004216","G11000100004",11001,11,1,4,"216",36,0,0,3,0,12,0,0,0,3
"G11000100004217","G11000100004",11001,11,1,4,"217",1,0,0,1,0,0,0,0,0,0
"G11000100004218","G11000100004",11001,11,1,4,"218",1,0,0,0,0,7,0,0,0,0
"G11000100004219","G11000100004",11001,11,1,4,"219",86,4,0,12,0,12,0,0,0,0
"G11000100004221","G11000100004",11001,11,1,4,"221",10,0,0,0,0,1,0,0,0,0
"G1100010000501101","G1100010000501",11001,11,1,501,"101",20,4,0,0,0,0,0,0,0,0
"G1100010000501102","G1100010000501",11001,11,1,501,"102",341,22,0,18,1,31,0,0,1,2
"G1100010000501103","G1100010000501",11001,11,1,501,"103",383,29,1,16,4,22,0,0,0,17
"G1100010000501104","G1100010000501",11001,11,1,501,"104",201,2,0,12,0,4,0,0,0,2
"G1100010000501105","G1100010000501",11001,11,1,501,"105",81,2,0,7,0,4,0,0,0,6
"G1100010000501106","G1100010000501",11001,11,1,501,"106",226,12,0,7,2,14,0,0,0,4
"G1100010000501203","G1100010000501",11001,11,1,501,"203",2,5,0,0,0,0,0,0,0,6
"G1100010000501204","G1100010000501",11001,11,1,501,"204",7,0,0,0,0,0,0,0,0,0
"G1100010000501302","G1100010000501",11001,11,1,501,"302",1071,67,0,47,1,57,3,1,0,9
"G1100010000502304","G1100010000502",11001,11,1,502,"304",166,4,0,5,0,11,0,0,0,0
"G1100010000502309","G1100010000502",11001,11,1,502,"309",22,1,0,0,0,1,0,0,0,1
"G1100010000502313","G1100010000502",11001,11,1,502,"313",174,0,0,10,0,0,0,0,0,0
"G1100010000502314","G1100010000502",11001,11,1,502,"314",254,5,0,13,0,21,6,0,0,8
"G1100010000502315","G1100010000502",11001,11,1,502,"315",220,18,1,18,0,21,0,0,0,9
"G1100010000502316","G1100010000502",11001,11,1,502,"316",257,22,2,10,2,75,6,0,1,39
"G1100010000502320","G1100010000502",11001,11,1,502,"320",2,0,0,0,0,0,0,0,0,0
"G1100010000502321","G1100010000502",11001,11,1,502,"321",119,0,0,2,0,6,0,0,0,1
"G1100010000502401","G1100010000502",11001,11,1,502,"401",602,24,0,28,0,25,0,0,0,18
"G1100010000502402","G1100010000502",11001,11,1,502,"402",219,8,0,8,0,6,0,0,0,0
"G1100010000502403","G1100010000502",11001,11,1,502,"403",135,9,1,6,0,25,1,0,0,11
"G1100010000502404","G1100010000502",11001,11,1,502,"404",62,6,0,0,0,1,0,0,0,1
"G1100010000502405","G1100010000502",11001,11,1,502,"405",141,0,0,14,0,2,0,0,0,0
"G1100010000502406","G1100010000502",11001,11,1,502,"406",46,0,0,2,0,0,0,0,0,1
"G1100010000502410","G1100010000502",11001,11,1,502,"410",424,15,1,7,0,35,1,0,0,0
"G1100010000502501","G1100010000502",11001,11,1,502,"501",83,0,0,1,0,0,0,1,0,0
"G1100010000502502","G1100010000502",11001,11,1,502,"502",112,4,0,3,2,5,0,0,0,0
"G1100010000502503","G1100010000502",11001,11,1,502,"503",15,0,0,1,0,0,0,0,0,0
"G1100010000502504","G1100010000502",11001,11,1,502,"504",75,4,0,1,0,1,0,0,0,0
"G1100010000502505","G1100010000502",11001,11,1,502,"505",38,0,0,3,0,4,0,0,0,0
"G1100010000502506","G1100010000502",11001,11,1,502,"506",39,0,0,0,0,6,0,0,0,0
"G11000100006101","G11000100006",11001,11,1,6,"101",290,3,0,2,0,4,0,0,0,0
"G11000100006102","G11000100006",11001,11,1,6,"102",156,7,0,5,0,7,1,0,0,1
"G11000100006104","G11000100006",11001,11,1,6,"104",77,4,0,4,0,6,1,0,0,0
"G11000100006105","G11000100006",11001,11,1,6,"105",39,0,0,0,0,0,0,0,0,0
"G11000100006106","G11000100006",11001,11,1,6,"106",366,28,1,14,1,89,7,0,4,33
"G11000100006201","G11000100006",11001,11,1,6,"201",135,10,0,27,1,31,0,5,0,20
"G11000100006202","G11000100006",11001,11,1,6,"202",85,7,0,7,1,25,0,0,0,17
"G11000100006203","G11000100006",11001,11,1,6,"203",86,2,0,1,0,6,0,0,0,0
"G11000100006204","G11000100006",11001,11,1,6,"204",49,2,0,0,0,1,0,0,0,2
"G11000100006205","G11000100006",11001,11,1,6,"205",39,0,0,1,0,0,0,0,0,0
"G11000100006206","G11000100006",11001,11,1,6,"206",258,12,0,3,0,8,0,0,0,0
"G11000100006207","G11000100006",11001,11,1,6,"207",163,6,0,7,0,6,0,0,0,0
"G11000100006209","G11000100006",11001,11,1,6,"209",50,0,0,0,0,11,0,0,0,1
"G11000100006210","G11000100006",11001,11,1,6,"210",62,1,0,1,1,1,0,0,0,1
"G11000100006301","G11000100006",11001,11,1,6,"301",55,0,0,0,0,0,0,0,0,0
"G11000100006302","G11000100006",11001,11,1,6,"302",118,3,0,8,0,20,0,0,0,26
"G11000100006303","G11000100006",11001,11,1,6,"303",56,1,0,1,0,0,0,0,0,0
"G11000100006304","G11000100006",11001,11,1,6,"304",66,0,0,0,0,2,0,0,0,0
"G11000100006305","G11000100006",11001,11,1,6,"305",56,2,0,1,0,0,0,0,0,0
"G11000100006306","G11000100006",11001,11,1,6,"306",40,0,0,1,0,1,0,0,0,0
"G11000100006307","G11000100006",11001,11,1,6,"307",215,245,0,9,2,2,2,0,0,3
"G11000100006308","G11000100006",11001,11,1,6,"308",47,0,0,1,0,4,0,0,0,1
"G11000100006401","G11000100006",11001,11,1,6,"401",93,2,0,9,0,4,0,0,1,1
"G11000100006402","G11000100006",11001,11,1,6,"402",49,0,0,5,0,3,0,0,0,0
"G11000100006403","G11000100006",11001,11,1,6,"403",43,0,0,0,0,0,0,0,0,0
"G11000100006404","G11000100006",11001,11,1,6,"404",56,3,0,0,0,4,0,0,0,1
"G11000100006405","G11000100006",11001,11,1,6,"405",207,8,0,15,0,10,5,0,0,5
"G11000100006406","G11000100006",11001,11,1,6,"406",75,0,0,6,0,5,0,0,0,1
"G11000100006407","G11000100006",11001,11,1,6,"407",75,0,0,8,0,2,0,0,0,1
"G11000100006408","G11000100006",11001,11,1,6,"408",14,0,0,0,0,0,0,0,0,0
"G11000100006409","G11000100006",11001,11,1,6,"409",100,4,0,11,0,11,0,0,0,1
"G11000100006410","G11000100006",11001,11,1,6,"410",29,0,0,0,0,2,0,0,0,0
"G11000100006411","G11000100006",11001,11,1,6,"411",86,3,0,1,1,3,0,0,0,2
"G11000100006412","G11000100006",11001,11,1,6,"412",66,8,4,1,0,5,1,0,0,0
"G11000100006413","G11000100006",11001,11,1,6,"413",70,1,0,2,0,0,0,0,0,0
"G11000100006501","G11000100006",11001,11,1,6,"501",88,3,0,1,1,1,0,0,0,0
"G11000100006502","G11000100006",11001,11,1,6,"502",82,0,0,2,0,0,0,0,0,1
"G11000100006503","G11000100006",11001,11,1,6,"503",123,0,0,2,0,3,0,0,0,2
"G11000100006504","G11000100006",11001,11,1,6,"504",44,0,0,1,0,1,0,0,0,0
"G11000100006506","G11000100006",11001,11,1,6,"506",146,43,0,0,0,1,0,0,0,2
"G1100010000701101","G1100010000701",11001,11,1,701,"101",272,41,1,28,1,81,0,0,4,22
"G1100010000701102","G1100010000701",11001,11,1,701,"102",639,72,1,58,0,132,10,0,0,111
"G1100010000701104","G1100010000701",11001,11,1,701,"104",64,0,0,1,0,0,0,0,0,0
"G1100010000701105","G1100010000701",11001,11,1,701,"105",65,3,0,4,0,6,0,0,0,0
"G1100010000701106","G1100010000701",11001,11,1,701,"106",20,0,1,0,0,0,0,0,0,0
"G1100010000701107","G1100010000701",11001,11,1,701,"107",54,0,0,0,0,0,0,0,0,0
"G1100010000701201","G1100010000701",11001,11,1,701,"201",397,23,0,10,0,15,0,0,0,5
"G1100010000701202","G1100010000701",11001,11,1,701,"202",225,6,0,19,0,12,0,0,0,0
"G1100010000701203","G1100010000701",11001,11,1,701,"203",4,0,0,0,0,0,0,0,0,0
"G1100010000701204","G1100010000701",11001,11,1,701,"204",69,1,1,11,0,1,0,0,0,0
"G1100010000701205","G1100010000701",11001,11,1,701,"205",53,13,0,6,0,15,1,0,0,17
"G1100010000701206","G1100010000701",11001,11,1,701,"206",62,1,0,0,0,4,0,0,0,0
"G1100010000701207","G1100010000701",11001,11,1,701,"207",70,5,0,0,0,6,0,0,1,0
"G1100010000701208","G1100010000701",11001,11,1,701,"208",1172,14,1,9,0,26,0,0,0,8
"G1100010000701209","G1100010000701",11001,11,1,701,"209",73,5,0,5,0,8,0,1,0,0
"G1100010000701210","G1100010000701",11001,11,1,701,"210",55,1,0,4,0,2,0,0,0,0
"G1100010000701211","G1100010000701",11001,11,1,701,"211",60,3,0,1,0,1,0,0,0,0
"G1100010000701212","G1100010000701",11001,11,1,701,"212",272,16,1,18,0,39,0,0,1,3
"G1100010000701213","G1100010000701",11001,11,1,701,"213",27,0,0,0,0,3,0,0,0,0
"G1100010000701214","G1100010000701",11001,11,1,701,"214",5,0,0,0,0,0,0,0,0,0
"G1100010000720305","G1100010000720",11001,11,1,720,"305",810,80,0,57,5,69,1,0,8,31
"G1100010000720306","G1100010000720",11001,11,1,720,"306",58,0,0,1,0,1,0,0,0,3
"G1100010000720307","G1100010000720",11001,11,1,720,"307",426,38,0,87,1,47,1,0,0,21
"G1100010000720308","G1100010000720",11001,11,1,720,"308",206,12,1,16,3,32,0,0,0,15
"G1100010000720501","G1100010000720",11001,11,1,720,"501",462,13,0,21,1,18,5,0,0,4
"G1100010000720503","G1100010000720",11001,11,1,720,"503",158,12,0,16,0,10,0,0,1,9
"G1100010000720504","G1100010000720",11001,11,1,720,"504",224,28,1,19,1,32,0,0,0,5
"G1100010000720506","G1100010000720",11001,11,1,720,"506",225,4,0,12,0,8,0,0,0,1
"G1100010000801101","G1100010000801",11001,11,1,801,"101",2375,86,0,93,2,150,3,1,1,12
"G1100010000801102","G1100010000801",11001,11,1,801,"102",8,0,0,0,0,0,0,0,0,4
"G1100010000801103","G1100010000801",11001,11,1,801,"103",34,0,0,1,0,1,0,0,0,0
"G1100010000801104","G1100010000801",11001,11,1,801,"104",39,0,0,1,0,4,0,0,0,0
"G1100010000801105","G1100010000801",11001,11,1,801,"105",60,0,0,0,0,0,0,0,0,0
"G1100010000801106","G1100010000801",11001,11,1,801,"106",3,0,0,0,0,0,0,0,0,0
"G1100010000801107","G1100010000801",11001,11,1,801,"107",248,10,0,13,0,13,0,0,0,0
"G1100010000801108","G1100010000801",11001,11,1,801,"108",18,0,0,1,0,0,0,0,0,0
"G1100010000801109","G1100010000801",11001,11,1,801,"109",11,0,0,0,0,0,0,0,0,0
"G1100010000801110","G1100010000801",11001,11,1,801,"110",38,0,1,1,0,3,1,0,0,0
"G1100010000801201","G1100010000801",11001,11,1,801,"201",159,5,0,0,0,7,0,0,0,0
"G1100010000801401","G1100010000801",11001,11,1,801,"401",262,49,1,10,1,16,2,0,0,4
"G1100010000801402","G1100010000801",11001,11,1,801,"402",19,1,0,0,0,0,0,0,0,1
"G1100010000801403","G1100010000801",11001,11,1,801,"403",232,30,0,11,0,7,0,0,0,2
"G1100010000801404","G1100010000801",11001,11,1,801,"404",0,0,0,0,0,0,0,0,0,0
"G1100010000801405","G1100010000801",11001,11,1,801,"405",24,0,0,4,0,0,0,0,0,0
"G1100010000801406","G1100010000801",11001,11,1,801,"406",93,1,1,3,0,4,0,0,0,0
"G1100010000801407","G1100010000801",11001,11,1,801,"407",59,0,0,4,0,1,0,0,0,0
"G1100010000801409","G1100010000801",11001,11,1,801,"409",13,0,0,1,0,3,0,0,0,0
"G1100010000801410","G1100010000801",11001,11,1,801,"410",23,0,0,1,0,4,0,0,0,0
"G1100010000801501","G1100010000801",11001,11,1,801,"501",37,1,0,1,0,0,1,0,0,1
"G1100010000801502","G1100010000801",11001,11,1,801,"502",93,3,0,0,0,1,0,0,0,0
"G1100010000801503","G1100010000801",11001,11,1,801,"503",76,0,0,0,0,1,0,0,0,0
"G1100010000801504","G1100010000801",11001,11,1,801,"504",17,0,0,0,0,1,0,0,0,0
"G1100010000801505","G1100010000801",11001,11,1,801,"505",155,0,0,13,1,6,0,0,0,0
