"GISJOIN","GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G1100010001701507","G1100010001701",17,40,0,0,0,0,57
"G1100010001701508","G1100010001701",4,28,0,0,0,0,32
"G1100010001701509","G1100010001701",0,14,0,0,0,0,14
"G1100010001701510","G1100010001701",0,12,0,0,0,0,12
"G1100010001701511","G1100010001701",15,38,0,0,0,3,56
"G1100010001701512","G1100010001701",4,87,0,0,0,0,91
"G1100010001701513","G1100010001701",27,309,2,29,29,11,407
"G1100010001701601","G1100010001701",10,35,0,9,9,1,64
"G1100010001701602","G1100010001701",19,19,0,2,2,2,44
"G1100010001701603","G1100010001701",31,175,0,2,2,20,230
"G1100010001701604","G1100010001701",13,121,0,0,0,0,134
"G1100010001701605","G1100010001701",26,141,0,2,2,5,176
"G1100010001702201","G1100010001702",8,192,0,3,3,20,226
"G1100010001702202","G1100010001702",8,26,0,0,0,17,51
"G1100010001702204","G1100010001702",13,22,0,0,0,0,35
"G1100010001702205","G1100010001702",7,15,0,2,2,0,26
"G1100010001702208","G1100010001702",8,19,1,0,0,0,28
"G1100010001702210","G1100010001702",11,37,0,0,0,3,51
"G1100010001702211","G1100010001702",14,32,0,1,1,0,48
"G1100010001702212","G1100010001702",20,29,0,0,0,1,50
"G1100010001702213","G1100010001702",26,49,0,0,0,4,79
"G1100010001702301","G1100010001702",8,43,7,0,0,1,59
"G1100010001702302","G1100010001702",5,23,0,0,0,4,32
"G1100010001702303","G1100010001702",10,43,0,0,0,1,54
"G1100010001702304","G1100010001702",13,18,1,0,0,0,32
"G1100010001702305","G1100010001702",13,302,1,1,1,1,319
"G1100010001702306","G1100010001702",7,197,0,0,0,2,206
"G1100010001702308","G1100010001702",4,101,0,0,0,0,105
"G1100010001702401","G1100010001702",6,4,0,6,6,0,22
"G1100010001702402","G1100010001702",4,19,1,0,0,4,28
"G1100010001702403","G1100010001702",5,0,0,0,0,0,5
"G1100010001702404","G1100010001702",15,9,0,0,0,0,24
"G1100010001702405","G1100010001702",34,95,0,2,2,2,135
"G1100010001702408","G1100010001702",1,18,0,0,0,1,20
"G1100010001702409","G1100010001702",26,50,0,7,7,11,101
"G1100010001702410","G1100010001702",24,39,0,0,0,0,63
"G1100010001702411","G1100010001702",28,70,1,5,5,7,116
"G1100010001702413","G1100010001702",2,57,0,0,0,0,59
"G1100010001702415","G1100010001702",11,51,2,0,0,0,64
"G1100010001702501","G1100010001702",2,11,0,0,0,0,13
"G1100010001702502","G1100010001702",6,3,0,0,0,0,9
"G1100010001702503","G1100010001702",12,2,0,0,0,3,17
"G1100010001702504","G1100010001702",22,35,0,0,0,1,58
"G1100010001702601","G1100010001702",19,7,0,0,0,0,26
"G1100010001702602","G1100010001702",26,27,0,1,1,0,55
"G1100010001702603","G1100010001702",22,74,0,2,2,4,104
"G1100010001702604","G1100010001702",18,22,0,2,2,1,45
"G1100010001702605","G1100010001702",17,48,0,0,0,0,65
"G1100010001702606","G1100010001702",1,61,0,0,0,0,62
"G1100010001702607","G1100010001702",8,53,0,0,0,0,61
"G1100010001702608","G1100010001702",5,40,0,0,0,0,45
"G1100010001702609","G1100010001702",0,35,0,0,0,0,35
"G1100010001801105","G1100010001801",358,313,6,15,15,71,778
"G1100010001803501","G1100010001803",13,97,0,1,1,4,116
"G1100010001803502","G1100010001803",29,113,0,0,0,3,145
"G1100010001803503","G1100010001803",21,120,0,1,1,12,155
"G1100010001803504","G1100010001803",9,97,0,0,0,20,126
"G1100010001803505","G1100010001803",7,41,0,1,1,0,50
"G1100010001803507","G1100010001803",2,81,0,4,4,4,95
"G1100010001803508","G1100010001803",9,244,0,3,3,37,296
"G1100010001803509","G1100010001803",11,39,0,2,2,2,56
"G1100010001803601","G1100010001803",6,327,2,0,0,17,352
"G1100010001803602","G1100010001803",0,109,0,0,0,0,109
"G1100010001803603","G1100010001803",76,247,2,1,1,2,329
"G1100010001803604","G1100010001803",18,96,0,2,2,4,122
"G1100010001803605","G1100010001803",8,385,2,3,3,56,457
"G1100010001803606","G1100010001803",2,322,3,0,0,24,351
"G1100010001804101","G1100010001804",6,476,4,2,2,86,576
"G1100010001804102","G1100010001804",2,84,3,0,0,1,90
"G1100010001804103","G1100010001804",3,54,0,0,0,0,57
"G1100010001804104","G1100010001804",1,55,0,0,0,0,56
"G1100010001804105","G1100010001804",0,26,0,0,0,0,26
"G1100010001804106","G1100010001804",0,28,0,0,0,0,28
"G1100010001804201","G1100010001804",0,94,0,0,0,28,122
"G1100010001804202","G1100010001804",2,18,0,0,0,21,41
"G1100010001804203","G1100010001804",0,3,0,0,0,0,3
"G1100010001804204","G1100010001804",3,57,1,2,2,0,65
"G1100010001804205","G1100010001804",3,0,0,0,0,0,3
"G1100010001804207","G1100010001804",0,143,0,0,0,6,149
"G1100010001804208","G1100010001804",0,5,0,0,0,0,5
"G1100010001804301","G1100010001804",9,164,3,0,0,0,176
"G1100010001804302","G1100010001804",9,434,1,0,0,12,456
"G1100010001804303","G1100010001804",1,75,0,0,0,38,114
"G1100010001804304","G1100010001804",10,379,0,0,0,149,538
"G1100010001804305","G1100010001804",2,36,0,0,0,11,49
"G1100010001804306","G1100010001804",18,210,2,1,1,6,238
"G1100010001804307","G1100010001804",5,292,0,2,2,64,365
"G1100010001804308","G1100010001804",2,42,0,0,0,8,52
"G1100010001804401","G1100010001804",4,112,0,1,1,1,119
"G1100010001804402","G1100010001804",6,145,1,0,0,14,166
"G1100010001804403","G1100010001804",13,128,0,0,0,7,148
"G1100010001804404","G1100010001804",2,218,0,1,1,4,226
"G1100010001804405","G1100010001804",0,17,0,0,0,0,17
"G1100010001804406","G1100010001804",0,20,0,0,0,0,20
"G1100010001804407","G1100010001804",3,17,0,0,0,0,20
"G1100010001804408","G1100010001804",2,284,6,6,6,6,310
"G1100010001901501","G1100010001901",3,90,0,0,0,2,95
"G1100010001901502","G1100010001901",0,21,0,0,0,6,27
"G1100010001901503","G1100010001901",0,44,0,0,0,0,44
"G1100010001901504","G1100010001901",0,15,0,0,0,0,15
"G1100010001901506","G1100010001901",1,218,0,0,0,8,227
"G1100010001901507","G1100010001901",1,7,0,0,0,5,13
"G1100010001901508","G1100010001901",3,70,0,4,4,0,81
"G1100010001901509","G1100010001901",5,51,0,0,0,1,57
"G1100010001901510","G1100010001901",2,69,0,0,0,0,71
"G1100010001901511","G1100010001901",2,111,2,1,1,0,117
"G1100010001901512","G1100010001901",3,77,0,0,0,5,85
"G1100010001901513","G1100010001901",0,39,0,0,0,0,39
"G1100010001901514","G1100010001901",2,151,0,0,0,2,155
"G1100010001901601","G1100010001901",1,124,0,0,0,0,125
"G1100010001901602","G1100010001901",2,111,0,0,0,3,116
"G1100010001901603","G1100010001901",3,123,0,2,2,5,135
"G1100010001901604","G1100010001901",0,37,0,0,0,1,38
"G1100010001901606","G1100010001901",2,56,0,0,0,1,59
"G1100010001901607","G1100010001901",1,86,1,0,0,0,88
"G1100010001901608","G1100010001901",1,64,0,0,0,8,73
"G1100010001901609","G1100010001901",0,56,0,0,0,0,56
"G1100010001901610","G1100010001901",1,77,0,0,0,0,78
"G1100010001901611","G1100010001901",5,97,0,1,1,3,107
"G1100010001901612","G1100010001901",2,128,0,0,0,17,147
"G1100010001901701","G1100010001901",1,161,0,0,0,0,162
"G1100010001901702","G1100010001901",0,190,1,3,3,7,204
"G1100010001901703","G1100010001901",0,91,1,0,0,4,96
"G1100010001901704","G1100010001901",1,79,0,0,0,0,80
"G1100010001901705","G1100010001901",1,37,0,0,0,0,38
"G1100010001901706","G1100010001901",0,17,0,1,1,6,25
"G1100010001901707","G1100010001901",6,86,0,1,1,3,97
"G1100010001901708","G1100010001901",0,110,0,0,0,4,114
"G1100010001901709","G1100010001901",0,100,0,0,0,4,104
"G1100010001901710","G1100010001901",0,88,4,0,0,7,99
"G1100010001901711","G1100010001901",1,157,0,0,0,6,164
"G1100010001901712","G1100010001901",3,134,1,0,0,5,143
"G1100010001901713","G1100010001901",3,88,0,0,0,0,91
"G1100010001901801","G1100010001901",4,86,0,3,3,0,96
"G1100010001901802","G1100010001901",0,40,0,0,0,0,40
"G1100010001901803","G1100010001901",0,80,0,0,0,0,80
"G1100010001901804","G1100010001901",2,103,0,0,0,8,113
"G1100010001901805","G1100010001901",2,63,0,0,0,0,65
"G1100010001901806","G1100010001901",7,78,0,1,1,0,87
"G1100010001901807","G1100010001901",1,75,0,0,0,5,81
"G1100010001901808","G1100010001901",1,9,0,0,0,3,13
"G1100010001901811","G1100010001901",7,54,0,0,0,0,61
"G1100010001901812","G1100010001901",4,61,0,0,0,0,65
"G1100010001901813","G1100010001901",2,106,0,0,0,2,110
"G1100010001901814","G1100010001901",19,54,1,0,0,0,74
"G1100010001901815","G1100010001901",6,40,0,1,1,2,50
"G1100010001902103","G1100010001902",12,97,0,3,3,0,115
"G1100010001902104","G1100010001902",1,65,0,0,0,0,66
"G1100010001902105","G1100010001902",8,43,0,0,0,0,51
"G1100010001902106","G1100010001902",7,63,0,0,0,7,77
"G1100010001902107","G1100010001902",0,6,0,0,0,0,6
"G1100010001902201","G1100010001902",0,22,0,0,0,4,26
"G1100010001902202","G1100010001902",3,81,0,1,1,2,88
"G1100010001902203","G1100010001902",3,75,0,0,0,0,78
"G1100010001902204","G1100010001902",2,89,0,0,0,0,91
"G1100010001902205","G1100010001902",15,37,0,2,2,2,58
"G1100010001902206","G1100010001902",2,26,0,0,0,3,31
"G1100010001902207","G1100010001902",3,65,1,0,0,0,69
"G1100010001902208","G1100010001902",0,5,0,0,0,0,5
"G1100010001902211","G1100010001902",11,77,2,0,0,0,90
"G1100010001902212","G1100010001902",2,94,0,0,0,0,96
"G1100010001902301","G1100010001902",3,105,0,0,0,3,111
"G1100010001902302","G1100010001902",6,85,0,0,0,0,91
"G1100010001902303","G1100010001902",2,91,2,0,0,1,96
"G1100010001902304","G1100010001902",2,48,0,0,0,0,50
"G1100010001902305","G1100010001902",2,10,0,0,0,0,12
"G1100010001902306","G1100010001902",1,25,0,0,0,0,26
"G1100010001902307","G1100010001902",1,89,3,0,0,2,95
"G1100010001902308","G1100010001902",1,83,0,0,0,0,84
"G1100010001902309","G1100010001902",8,72,0,0,0,0,80
"G1100010001902310","G1100010001902",3,73,0,0,0,3,79
"G1100010001902311","G1100010001902",3,88,0,0,0,0,91
"G1100010001902312","G1100010001902",1,81,0,1,1,1,85
"G1100010001902401","G1100010001902",3,118,0,0,0,1,122
"G1100010001902402","G1100010001902",5,53,0,0,0,0,58
"G1100010001902403","G1100010001902",5,62,0,0,0,1,68
"G1100010001902406","G1100010001902",3,100,0,0,0,0,103
"G1100010001902407","G1100010001902",0,95,0,0,0,0,95
"G1100010001902408","G1100010001902",2,99,0,0,0,0,101
"G1100010001902409","G1100010001902",3,113,0,0,0,1,117
"G1100010002001101","G1100010002001",0,17,3,0,0,46,66
"G1100010002001102","G1100010002001",25,528,2,16,16,56,643
"G1100010002001104","G1100010002001",12,199,5,4,4,48,272
"G1100010002001106","G1100010002001",17,91,2,0,0,7,117
"G1100010002001110","G1100010002001",3,86,0,4,4,6,103
"G1100010002001111","G1100010002001",1,17,0,0,0,2,20
"G1100010002001701","G1100010002001",20,88,0,0,0,5,113
"G1100010002001702","G1100010002001",30,6,0,0,0,1,37
"G1100010002001704","G1100010002001",1,20,0,0,0,0,21
"G1100010002001705","G1100010002001",38,34,0,0,0,0,72
"G1100010002001706","G1100010002001",9,16,0,0,0,0,25
"G1100010002001707","G1100010002001",124,140,0,3,3,7,277
"G1100010002001708","G1100010002001",42,140,0,2,2,31,217
"G1100010002001710","G1100010002001",14,72,0,0,0,8,94
"G1100010002001715","G1100010002001",24,45,0,5,5,9,88
"G1100010002001716","G1100010002001",35,56,0,4,4,1,100
"G1100010002001719","G1100010002001",44,134,1,7,7,2,195
"G1100010002002201","G1100010002002",1,165,0,0,0,5,171
"G1100010002002202","G1100010002002",18,171,0,0,0,1,190
"G1100010002002205","G1100010002002",26,347,1,1,1,30,406
"G1100010002002206","G1100010002002",3,125,0,0,0,29,157
"G1100010002002207","G1100010002002",12,151,0,0,0,3,166
"G1100010002002208","G1100010002002",4,161,0,10,10,6,191
"G1100010002002301","G1100010002002",8,101,1,0,0,14,124
"G1100010002002302","G1100010002002",15,110,0,0,0,0,125
"G1100010002002303","G1100010002002",7,144,2,0,0,10,163
"G1100010002002304","G1100010002002",5,155,0,1,1,0,162
"G1100010002002305","G1100010002002",4,95,0,0,0,5,104
"G1100010002002306","G1100010002002",19,164,0,1,1,0,185
"G1100010002002401","G1100010002002",19,89,0,0,0,0,108
"G1100010002002402","G1100010002002",11,75,0,0,0,8,94
"G1100010002002403","G1100010002002",15,64,0,0,0,8,87
"G1100010002002404","G1100010002002",1,56,0,0,0,0,57
"G1100010002002405","G1100010002002",4,40,0,0,0,0,44
"G1100010002002407","G1100010002002",16,58,0,0,0,0,74
"G1100010002002408","G1100010002002",15,134,0,4,4,20,177
"G1100010002002502","G1100010002002",19,111,1,1,1,2,135
"G1100010002002503","G1100010002002",2,61,1,2,2,1,69
"G1100010002002504","G1100010002002",19,120,1,0,0,2,142
"G1100010002002505","G1100010002002",9,125,1,0,0,0,135
"G1100010002002506","G1100010002002",10,125,0,2,2,0,139
"G1100010002002507","G1100010002002",0,2,0,0,0,0,2
"G1100010002002508","G1100010002002",0,15,0,0,0,0,15
"G1100010002002509","G1100010002002",2,16,0,0,0,8,26
"G1100010002002510","G1100010002002",5,105,0,0,0,17,127
"G1100010002002601","G1100010002002",10,2,0,1,1,0,14
"G1100010002002602","G1100010002002",2,17,0,0,0,0,19
"G1100010002002603","G1100010002002",8,28,0,0,0,1,37
"G1100010002002604","G1100010002002",1,13,0,0,0,0,14
"G1100010002002605","G1100010002002",7,27,0,1,1,2,38
"G1100010002002606","G1100010002002",6,9,0,0,0,2,17
"G1100010002002607","G1100010002002",20,4,2,0,0,0,26
"G1100010002002608","G1100010002002",15,17,0,0,0,0,32
"G1100010002002609","G1100010002002",7,40,0,9,9,3,68
"G1100010002002613","G1100010002002",7,35,0,0,0,1,43
"G1100010002002620","G1100010002002",19,52,0,1,1,0,73
"G1100010002002621","G1100010002002",16,40,0,0,0,1,57
"G1100010002101101","G1100010002101",0,5,0,0,0,0,5
"G1100010002101102","G1100010002101",0,109,0,0,0,1,110
"G1100010002101103","G1100010002101",3,136,3,0,0,0,142
"G1100010002101104","G1100010002101",0,5,0,0,0,0,5
"G1100010002101105","G1100010002101",1,125,0,0,0,4,130
"G1100010002101108","G1100010002101",2,255,1,0,0,3,261
"G1100010002101109","G1100010002101",2,136,0,0,0,5,143
"G1100010002101110","G1100010002101",4,337,0,0,0,7,348
"G1100010002101111","G1100010002101",4,84,1,0,0,7,96
"G1100010002101112","G1100010002101",3,146,2,0,0,17,168
"G1100010002101201","G1100010002101",6,142,0,1,1,17,167
"G1100010002101206","G1100010002101",0,279,0,0,0,22,301
"G1100010002101207","G1100010002101",6,289,0,2,2,6,305
"G1100010002101209","G1100010002101",2,197,1,0,0,7,207
"G1100010002101301","G1100010002101",1,253,0,0,0,5,259
"G1100010002101302","G1100010002101",5,195,0,2,2,0,204
"G1100010002101303","G1100010002101",0,171,4,0,0,1,176
"G1100010002101304","G1100010002101",1,225,0,0,0,7,233
"G1100010002101305","G1100010002101",4,212,0,1,1,5,223
"G1100010002101306","G1100010002101",1,172,0,0,0,0,173
"G1100010002101401","G1100010002101",1,120,0,0,0,3,124
"G1100010002101403","G1100010002101",0,109,0,0,0,17,126
"G1100010002101404","G1100010002101",0,125,0,0,0,18,143
"G1100010002101405","G1100010002101",0,26,0,0,0,0,26
"G1100010002101407","G1100010002101",0,265,0,0,0,17,282
"G1100010002101408","G1100010002101",1,53,0,0,0,0,54
"G1100010002101409","G1100010002101",0,97,0,5,5,5,112
"G1100010002101501","G1100010002101",3,26,0,1,1,0,31
"G1100010002101502","G1100010002101",0,229,1,11,11,4,256
"G1100010002101503","G1100010002101",2,248,0,1,1,8,260
"G1100010002101504","G1100010002101",4,135,0,4,4,0,147
"G1100010002101505","G1100010002101",0,0,0,0,0,0,0
"G1100010002101506","G1100010002101",0,79,0,6,6,3,94
"G1100010002102101","G1100010002102",2,74,0,0,0,1,77
"G1100010002102102","G1100010002102",2,78,0,0,0,0,80
"G1100010002102103","G1100010002102",0,67,0,0,0,5,72
"G1100010002102104","G1100010002102",1,68,0,0,0,0,69
"G1100010002102105","G1100010002102",1,100,0,0,0,0,101
"G1100010002102106","G1100010002102",3,107,0,0,0,1,111
"G1100010002102201","G1100010002102",4,184,0,0,0,0,188
"G1100010002102202","G1100010002102",0,166,0,0,0,0,166
"G1100010002102204","G1100010002102",0,20,0,0,0,0,20
"G1100010002102205","G1100010002102",4,61,0,0,0,6,71
"G1100010002102206","G1100010002102",7,169,0,0,0,1,177
"G1100010002102207","G1100010002102",2,49,0,0,0,17,68
"G1100010002102208","G1100010002102",0,7,0,0,0,0,7
"G1100010002102209","G1100010002102",10,182,0,0,0,22,214
"G1100010002102301","G1100010002102",1,122,8,0,0,0,131
"G1100010002102302","G1100010002102",6,163,1,0,0,0,170
"G1100010002102303","G1100010002102",5,141,0,1,1,2,150
"G1100010002102304","G1100010002102",0,32,0,0,0,0,32
"G1100010002102305","G1100010002102",0,68,1,2,2,3,76
"G1100010002102306","G1100010002102",0,234,0,0,0,6,240
"G1100010002102401","G1100010002102",1,57,0,0,0,0,58
"G1100010002102402","G1100010002102",0,20,0,0,0,0,20
"G1100010002102403","G1100010002102",0,69,0,0,0,8,77
"G1100010002102404","G1100010002102",0,39,0,0,0,0,39
"G1100010002102405","G1100010002102",3,160,0,3,3,0,169
"G1100010002102406","G1100010002102",2,186,0,0,0,0,188
"G1100010002102409","G1100010002102",0,244,1,6,6,17,274
"G1100010002102501","G1100010002102",2,103,1,0,0,0,106
"G1100010002102503","G1100010002102",2,148,0,0,0,0,150
"G1100010002102504","G1100010002102",0,186,0,0,0,2,188
"G1100010002102505","G1100010002102",3,32,0,0,0,0,35
"G1100010002102506","G1100010002102",1,145,0,0,0,3,149
"G1100010002102601","G1100010002102",0,3,0,0,0,0,3
"G1100010002102602","G1100010002102",0,94,0,1,1,0,96
"G1100010002102603","G1100010002102",1,193,0,0,0,8,202
"G1100010002102604","G1100010002102",3,201,0,3,3,7,217
"G1100010002102605","G1100010002102",0,108,0,0,0,0,108
"G1100010002102606","G1100010002102",0,104,0,2,2,0,108
"G1100010002102607","G1100010002102",3,19,0,0,0,0,22
"G1100010002102608","G1100010002102",2,150,1,5,5,25,188
"G1100010002102701","G1100010002102",0,123,0,0,0,0,123
"G1100010002102702","G1100010002102",1,34,0,0,0,0,35
"G1100010002102703","G1100010002102",1,15,0,0,0,0,16
"G1100010002102704","G1100010002102",0,24,0,0,0,0,24
"G1100010002102705","G1100010002102",0,39,0,0,0,0,39
"G1100010002102706","G1100010002102",1,25,0,0,0,0,26
"G1100010002102707","G1100010002102",0,92,1,0,0,0,93
"G1100010002102708","G1100010002102",2,122,0,0,0,9,133
"G1100010002201101","G1100010002201",7,204,0,0,0,12,223
"G1100010002201102","G1100010002201",1,125,0,0,0,0,126
"G1100010002201103","G1100010002201",1,101,1,0,0,8,111
"G1100010002201104","G1100010002201",0,161,0,0,0,1,162
"G1100010002201105","G1100010002201",1,254,0,0,0,7,262
"G1100010002201107","G1100010002201",0,120,0,0,0,20,140
"G1100010002201108","G1100010002201",0,61,0,0,0,0,61
"G1100010002201109","G1100010002201",2,129,0,0,0,0,131
"G1100010002201110","G1100010002201",6,118,1,1,1,17,144
"G1100010002201111","G1100010002201",1,60,3,0,0,4,68
"G1100010002201201","G1100010002201",5,133,0,1,1,7,147
"G1100010002201203","G1100010002201",0,112,0,0,0,19,131
"G1100010002201205","G1100010002201",3,185,0,0,0,0,188
"G1100010002201207","G1100010002201",5,77,0,0,0,8,90
"G1100010002201301","G1100010002201",0,156,0,0,0,6,162
"G1100010002201302","G1100010002201",1,128,0,0,0,0,129
"G1100010002201303","G1100010002201",2,127,0,0,0,0,129
"G1100010002201304","G1100010002201",1,178,1,0,0,10,190
"G1100010002201305","G1100010002201",3,135,0,0,0,0,138
"G1100010002201306","G1100010002201",1,98,0,4,4,4,111
"G1100010002201401","G1100010002201",0,92,0,0,0,1,93
"G1100010002201402","G1100010002201",2,147,0,2,2,7,160
"G1100010002201403","G1100010002201",0,39,0,0,0,0,39
"G1100010002201404","G1100010002201",6,94,0,0,0,15,115
"G1100010002201405","G1100010002201",5,90,3,1,1,8,108
"G1100010002201406","G1100010002201",4,130,0,0,0,25,159
"G1100010002201407","G1100010002201",1,133,0,0,0,4,138
"G1100010002202101","G1100010002202",7,101,0,0,0,0,108
"G1100010002202102","G1100010002202",5,435,0,0,0,7,447
"G1100010002202103","G1100010002202",2,129,0,0,0,0,131
"G1100010002202104","G1100010002202",0,63,0,0,0,1,64
"G1100010002202105","G1100010002202",7,197,0,0,0,7,211
"G1100010002202106","G1100010002202",6,110,0,0,0,11,127
"G1100010002202107","G1100010002202",14,105,0,1,1,1,122
"G1100010002202108","G1100010002202",1,181,0,1,1,32,216
"G1100010002202201","G1100010002202",1,80,0,0,0,0,81
"G1100010002202202","G1100010002202",1,216,0,0,0,7,224
"G1100010002202204","G1100010002202",1,91,6,0,0,3,101
"G1100010002202205","G1100010002202",0,99,0,0,0,1,100
"G1100010002202206","G1100010002202",0,153,0,0,0,10,163
"G1100010002202207","G1100010002202",2,160,0,0,0,0,162
"G1100010002202301","G1100010002202",2,167,0,1,1,3,174
"G1100010002202302","G1100010002202",1,163,1,0,0,2,167
"G1100010002202303","G1100010002202",1,187,0,0,0,20,208
"G1100010002202304","G1100010002202",1,158,0,0,0,8,167
"G1100010002202306","G1100010002202",0,88,0,0,0,3,91
"G1100010002202307","G1100010002202",1,90,0,0,0,6,97
"G1100010002202308","G1100010002202",1,131,2,0,0,4,138
"G1100010002301101","G1100010002301",4,266,0,0,0,2,272
"G1100010002301102","G1100010002301",0,118,0,0,0,0,118
"G1100010002301103","G1100010002301",10,128,0,0,0,0,138
"G1100010002301104","G1100010002301",0,248,0,0,0,1,249
"G1100010002301105","G1100010002301",2,123,0,0,0,12,137
"G1100010002301106","G1100010002301",2,154,0,0,0,0,156
"G1100010002301108","G1100010002301",2,133,0,7,7,4,153
"G1100010002301109","G1100010002301",3,123,0,0,0,0,126
"G1100010002301201","G1100010002301",1,97,0,0,0,1,99
"G1100010002301204","G1100010002301",3,135,0,0,0,2,140
"G1100010002301205","G1100010002301",2,128,0,0,0,8,138
"G1100010002301206","G1100010002301",1,102,0,0,0,4,107
"G1100010002301208","G1100010002301",1,86,0,0,0,0,87
"G1100010002301209","G1100010002301",4,98,2,0,0,5,109
"G1100010002301301","G1100010002301",1,44,0,0,0,4,49
"G1100010002301302","G1100010002301",5,144,0,0,0,11,160
"G1100010002301303","G1100010002301",4,159,0,0,0,1,164
"G1100010002301305","G1100010002301",1,35,0,0,0,0,36
"G1100010002301306","G1100010002301",2,139,0,0,0,12,153
"G1100010002301308","G1100010002301",5,62,0,0,0,4,71
"G1100010002301401","G1100010002301",2,133,0,0,0,0,135
"G1100010002301402","G1100010002301",2,115,0,0,0,0,117
"G1100010002301404","G1100010002301",1,51,0,0,0,0,52
"G1100010002301405","G1100010002301",1,103,0,0,0,0,104
"G1100010002301406","G1100010002301",0,65,0,0,0,2,67
"G1100010002301407","G1100010002301",0,204,0,0,0,7,211
"G1100010002302101","G1100010002302",1760,250,5,6,6,42,2069
"G1100010002302109","G1100010002302",81,151,0,2,2,14,250
"G1100010002302113","G1100010002302",285,615,1,20,20,49,990
"G1100010002302114","G1100010002302",152,255,2,2,2,3,416
"G1100010002302115","G1100010002302",204,449,1,11,11,22,698
"G1100010002302117","G1100010002302",0,33,0,1,1,0,35
"G11000100024101","G11000100024",2,113,0,0,0,4,119
"G11000100024102","G11000100024",4,88,0,0,0,0,92
"G11000100024103","G11000100024",1,90,0,0,0,6,97
"G11000100024104","G11000100024",4,79,0,7,7,14,111
"G11000100024105","G11000100024",2,26,0,0,0,4,32
"G11000100024106","G11000100024",3,114,0,0,0,2,119
"G11000100024107","G11000100024",3,83,0,0,0,7,93
"G11000100024108","G11000100024",0,9,0,0,0,0,9
"G11000100024109","G11000100024",0,2,0,0,0,0,2
"G11000100024110","G11000100024",0,0,0,0,0,0,0
"G11000100024201","G11000100024",9,110,0,0,0,3,122
"G11000100024202","G11000100024",2,70,0,0,0,2,74
"G11000100024206","G11000100024",2,127,0,0,0,0,129
"G11000100024207","G11000100024",2,45,0,0,0,0,47
"G11000100024208","G11000100024",3,68,0,1,1,8,81
"G11000100024210","G11000100024",3,53,0,0,0,1,57
"G11000100024220","G11000100024",0,25,0,0,0,2,27
"G11000100024301","G11000100024",10,94,0,0,0,10,114
"G11000100024302","G11000100024",2,194,0,0,0,16,212
"G11000100024303","G11000100024",0,22,0,0,0,0,22
"G11000100024304","G11000100024",6,101,0,7,7,4,125
"G11000100024305","G11000100024",2,172,0,0,0,7,181
"G11000100024306","G11000100024",2,38,0,0,0,6,46
"G11000100024309","G11000100024",2,97,0,1,1,0,101
"G11000100024401","G11000100024",3,151,0,0,0,12,166
"G11000100024402","G11000100024",4,155,0,0,0,15,174
"G11000100024403","G11000100024",4,30,0,0,0,0,34
"G11000100024404","G11000100024",1,87,0,0,0,2,90
"G11000100024405","G11000100024",1,94,1,0,0,9,105
"G11000100024406","G11000100024",5,74,0,0,0,5,84
"G11000100024408","G11000100024",0,178,0,0,0,13,191
"G11000100024409","G11000100024",0,87,0,0,0,2,89
"G11000100024501","G11000100024",7,216,0,0,0,4,227
"G11000100024502","G11000100024",1,112,0,0,0,16,129
"G11000100024503","G11000100024",7,193,0,3,3,6,212
"G11000100024505","G11000100024",1,44,0,0,0,0,45
"G11000100024506","G11000100024",0,22,0,0,0,5,27
"G11000100024507","G11000100024",9,156,1,0,0,10,176
"G11000100024508","G11000100024",6,120,0,0,0,10,136
"G1100010002501101","G1100010002501",2,48,0,0,0,4,54
"G1100010002501103","G1100010002501",0,0,0,0,0,2,2
"G1100010002501104","G1100010002501",1,160,3,0,0,3,167
"G1100010002501105","G1100010002501",2,96,0,0,0,0,98
"G1100010002501106","G1100010002501",4,256,0,0,0,29,289
"G1100010002501201","G1100010002501",1,104,0,0,0,30,135
"G1100010002501202","G1100010002501",2,73,0,0,0,3,78
"G1100010002501203","G1100010002501",0,2,0,0,0,0,2
"G1100010002501205","G1100010002501",0,6,0,0,0,0,6
"G1100010002501206","G1100010002501",4,62,0,0,0,58,124
"G1100010002501301","G1100010002501",5,55,0,0,0,24,84
"G1100010002501302","G1100010002501",31,171,0,0,0,0,202
"G1100010002501303","G1100010002501",8,82,0,2,2,8,102
"G1100010002501304","G1100010002501",22,131,0,1,1,10,165
"G1100010002501305","G1100010002501",16,71,0,0,0,12,99
"G1100010002501306","G1100010002501",13,71,0,1,1,15,101
"G1100010002501307","G1100010002501",12,117,0,0,0,7,136
"G1100010002501308","G1100010002501",26,54,0,0,0,2,82
"G1100010002501401","G1100010002501",18,105,0,0,0,11,134
"G1100010002501402","G1100010002501",18,75,0,4,4,6,107
"G1100010002501403","G1100010002501",2,10,0,0,0,0,12
"G1100010002501404","G1100010002501",3,9,0,0,0,4,16
"G1100010002501405","G1100010002501",13,71,1,0,0,2,87
"G1100010002501406","G1100010002501",9,89,0,0,0,12,110
"G1100010002502101","G1100010002502",1,6,0,0,0,0,7
"G1100010002502103","G1100010002502",3,192,0,6,6,18,225
"G1100010002502104","G1100010002502",2,111,0,0,0,15,128
"G1100010002502105","G1100010002502",4,252,0,0,0,30,286
"G1100010002502106","G1100010002502",0,179,2,1,1,30,213
"G1100010002502201","G1100010002502",4,57,0,0,0,1,62
