"GISJOIN","GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G1100010000310206","G1100010000310",37,0,0,1,1,0,39
"G1100010000310301","G1100010000310",812,24,3,32,32,36,939
"G1100010000310303","G1100010000310",105,1,0,3,3,1,113
"G1100010000310304","G1100010000310",87,0,0,1,1,6,95
"G1100010000310305","G1100010000310",81,7,0,2,2,10,102
"G1100010000310306","G1100010000310",119,1,0,4,4,3,131
"G1100010000310401","G1100010000310",113,1,0,14,14,6,148
"G1100010000310402","G1100010000310",199,2,0,13,13,3,230
"G1100010000310403","G1100010000310",175,1,0,5,5,9,195
"G1100010000310404","G1100010000310",108,4,0,2,2,3,119
"G1100010000310405","G1100010000310",85,3,0,1,1,5,95
"G1100010000310406","G1100010000310",91,4,0,3,3,1,102
"G1100010000310407","G1100010000310",168,1,1,6,6,7,189
"G1100010000310408","G1100010000310",119,6,0,3,3,3,134
"G1100010000310409","G1100010000310",0,0,0,0,0,0,0
"G1100010000310410","G1100010000310",106,2,0,5,5,3,121
"G1100010000310411","G1100010000310",111,3,0,2,2,6,124
"G1100010000310412","G1100010000310",107,1,0,1,1,4,114
"G1100010000310508","G1100010000310",521,46,1,43,43,49,703
"G1100010000310509","G1100010000310",110,19,0,6,6,27,168
"G1100010000310510","G1100010000310",48,8,0,2,2,2,62
"G1100010000310511","G1100010000310",183,10,2,2,2,15,214
"G1100010000310512","G1100010000310",136,4,1,3,3,8,155
"G1100010000310513","G1100010000310",116,8,0,4,4,9,141
"G1100010000310514","G1100010000310",124,0,0,0,0,5,129
"G11000100004101","G11000100004",5,0,0,0,0,0,5
"G11000100004102","G11000100004",39,0,2,1,1,3,46
"G11000100004103","G11000100004",38,2,0,2,2,4,48
"G11000100004104","G11000100004",9,0,0,7,7,0,23
"G11000100004105","G11000100004",53,0,0,1,1,3,58
"G11000100004106","G11000100004",39,4,1,0,0,1,45
"G11000100004108","G11000100004",16,0,0,0,0,1,17
"G11000100004109","G11000100004",42,0,0,1,1,5,49
"G11000100004110","G11000100004",27,0,0,0,0,1,28
"G11000100004111","G11000100004",37,3,1,2,2,0,45
"G11000100004112","G11000100004",42,0,0,0,0,3,45
"G11000100004115","G11000100004",53,1,0,5,5,5,69
"G11000100004116","G11000100004",20,1,0,0,0,2,23
"G11000100004117","G11000100004",24,0,0,0,0,1,25
"G11000100004118","G11000100004",56,0,0,5,5,2,68
"G11000100004120","G11000100004",16,0,0,0,0,0,16
"G11000100004121","G11000100004",36,1,1,3,3,0,44
"G11000100004201","G11000100004",17,0,0,0,0,0,17
"G11000100004202","G11000100004",10,4,0,4,4,1,23
"G11000100004203","G11000100004",2,0,0,5,5,0,12
"G11000100004204","G11000100004",10,0,0,3,3,21,37
"G11000100004205","G11000100004",5,10,0,2,2,5,24
"G11000100004206","G11000100004",24,6,0,3,3,6,42
"G11000100004207","G11000100004",21,0,0,0,0,3,24
"G11000100004209","G11000100004",8,0,0,1,1,0,10
"G11000100004210","G11000100004",24,6,0,6,6,0,42
"G11000100004211","G11000100004",35,0,0,0,0,0,35
"G11000100004212","G11000100004",81,0,0,4,4,7,96
"G11000100004213","G11000100004",15,1,0,3,3,2,24
"G11000100004214","G11000100004",24,1,0,0,0,0,25
"G11000100004215","G11000100004",111,4,0,4,4,3,126
"G11000100004216","G11000100004",36,0,0,3,3,15,57
"G11000100004217","G11000100004",1,0,0,1,1,0,3
"G11000100004218","G11000100004",1,0,0,0,0,7,8
"G11000100004219","G11000100004",86,4,0,12,12,12,126
"G11000100004221","G11000100004",10,0,0,0,0,1,11
"G1100010000501101","G1100010000501",20,4,0,0,0,0,24
"G1100010000501102","G1100010000501",341,22,0,18,18,34,433
"G1100010000501103","G1100010000501",383,29,1,16,16,39,484
"G1100010000501104","G1100010000501",201,2,0,12,12,6,233
"G1100010000501105","G1100010000501",81,2,0,7,7,10,107
"G1100010000501106","G1100010000501",226,12,0,7,7,18,270
"G1100010000501203","G1100010000501",2,5,0,0,0,6,13
"G1100010000501204","G1100010000501",7,0,0,0,0,0,7
"G1100010000501302","G1100010000501",1071,67,0,47,47,70,1302
"G1100010000502304","G1100010000502",166,4,0,5,5,11,191
"G1100010000502309","G1100010000502",22,1,0,0,0,2,25
"G1100010000502313","G1100010000502",174,0,0,10,10,0,194
"G1100010000502314","G1100010000502",254,5,0,13,13,35,320
"G1100010000502315","G1100010000502",220,18,1,18,18,30,305
"G1100010000502316","G1100010000502",257,22,2,10,10,121,422
"G1100010000502320","G1100010000502",2,0,0,0,0,0,2
"G1100010000502321","G1100010000502",119,0,0,2,2,7,130
"G1100010000502401","G1100010000502",602,24,0,28,28,43,725
"G1100010000502402","G1100010000502",219,8,0,8,8,6,249
"G1100010000502403","G1100010000502",135,9,1,6,6,37,194
"G1100010000502404","G1100010000502",62,6,0,0,0,2,70
"G1100010000502405","G1100010000502",141,0,0,14,14,2,171
"G1100010000502406","G1100010000502",46,0,0,2,2,1,51
"G1100010000502410","G1100010000502",424,15,1,7,7,36,490
"G1100010000502501","G1100010000502",83,0,0,1,1,1,86
"G1100010000502502","G1100010000502",112,4,0,3,3,5,127
"G1100010000502503","G1100010000502",15,0,0,1,1,0,17
"G1100010000502504","G1100010000502",75,4,0,1,1,1,82
"G1100010000502505","G1100010000502",38,0,0,3,3,4,48
"G1100010000502506","G1100010000502",39,0,0,0,0,6,45
"G11000100006101","G11000100006",290,3,0,2,2,4,301
"G11000100006102","G11000100006",156,7,0,5,5,9,182
"G11000100006104","G11000100006",77,4,0,4,4,7,96
"G11000100006105","G11000100006",39,0,0,0,0,0,39
"G11000100006106","G11000100006",366,28,1,14,14,133,556
"G11000100006201","G11000100006",135,10,0,27,27,56,255
"G11000100006202","G11000100006",85,7,0,7,7,42,148
"G11000100006203","G11000100006",86,2,0,1,1,6,96
"G11000100006204","G11000100006",49,2,0,0,0,3,54
"G11000100006205","G11000100006",39,0,0,1,1,0,41
"G11000100006206","G11000100006",258,12,0,3,3,8,284
"G11000100006207","G11000100006",163,6,0,7,7,6,189
"G11000100006209","G11000100006",50,0,0,0,0,12,62
"G11000100006210","G11000100006",62,1,0,1,1,2,67
"G11000100006301","G11000100006",55,0,0,0,0,0,55
"G11000100006302","G11000100006",118,3,0,8,8,46,183
"G11000100006303","G11000100006",56,1,0,1,1,0,59
"G11000100006304","G11000100006",66,0,0,0,0,2,68
"G11000100006305","G11000100006",56,2,0,1,1,0,60
"G11000100006306","G11000100006",40,0,0,1,1,1,43
"G11000100006307","G11000100006",215,245,0,9,9,7,485
"G11000100006308","G11000100006",47,0,0,1,1,5,54
"G11000100006401","G11000100006",93,2,0,9,9,6,119
"G11000100006402","G11000100006",49,0,0,5,5,3,62
"G11000100006403","G11000100006",43,0,0,0,0,0,43
"G11000100006404","G11000100006",56,3,0,0,0,5,64
"G11000100006405","G11000100006",207,8,0,15,15,20,265
"G11000100006406","G11000100006",75,0,0,6,6,6,93
"G11000100006407","G11000100006",75,0,0,8,8,3,94
"G11000100006408","G11000100006",14,0,0,0,0,0,14
"G11000100006409","G11000100006",100,4,0,11,11,12,138
"G11000100006410","G11000100006",29,0,0,0,0,2,31
"G11000100006411","G11000100006",86,3,0,1,1,5,96
"G11000100006412","G11000100006",66,8,4,1,1,6,86
"G11000100006413","G11000100006",70,1,0,2,2,0,75
"G11000100006501","G11000100006",88,3,0,1,1,1,94
"G11000100006502","G11000100006",82,0,0,2,2,1,87
"G11000100006503","G11000100006",123,0,0,2,2,5,132
"G11000100006504","G11000100006",44,0,0,1,1,1,47
"G11000100006506","G11000100006",146,43,0,0,0,3,192
"G1100010000701101","G1100010000701",272,41,1,28,28,107,477
"G1100010000701102","G1100010000701",639,72,1,58,58,253,1081
"G1100010000701104","G1100010000701",64,0,0,1,1,0,66
"G1100010000701105","G1100010000701",65,3,0,4,4,6,82
"G1100010000701106","G1100010000701",20,0,1,0,0,0,21
"G1100010000701107","G1100010000701",54,0,0,0,0,0,54
"G1100010000701201","G1100010000701",397,23,0,10,10,20,460
"G1100010000701202","G1100010000701",225,6,0,19,19,12,281
"G1100010000701203","G1100010000701",4,0,0,0,0,0,4
"G1100010000701204","G1100010000701",69,1,1,11,11,1,94
"G1100010000701205","G1100010000701",53,13,0,6,6,33,111
"G1100010000701206","G1100010000701",62,1,0,0,0,4,67
"G1100010000701207","G1100010000701",70,5,0,0,0,7,82
"G1100010000701208","G1100010000701",1172,14,1,9,9,34,1239
"G1100010000701209","G1100010000701",73,5,0,5,5,9,97
"G1100010000701210","G1100010000701",55,1,0,4,4,2,66
"G1100010000701211","G1100010000701",60,3,0,1,1,1,66
"G1100010000701212","G1100010000701",272,16,1,18,18,43,368
"G1100010000701213","G1100010000701",27,0,0,0,0,3,30
"G1100010000701214","G1100010000701",5,0,0,0,0,0,5
"G1100010000720305","G1100010000720",810,80,0,57,57,109,1113
"G1100010000720306","G1100010000720",58,0,0,1,1,4,64
"G1100010000720307","G1100010000720",426,38,0,87,87,69,707
"G1100010000720308","G1100010000720",206,12,1,16,16,47,298
"G1100010000720501","G1100010000720",462,13,0,21,21,27,544
"G1100010000720503","G1100010000720",158,12,0,16,16,20,222
"G1100010000720504","G1100010000720",224,28,1,19,19,37,328
"G1100010000720506","G1100010000720",225,4,0,12,12,9,262
"G1100010000801101","G1100010000801",2375,86,0,93,93,167,2814
"G1100010000801102","G1100010000801",8,0,0,0,0,4,12
"G1100010000801103","G1100010000801",34,0,0,1,1,1,37
"G1100010000801104","G1100010000801",39,0,0,1,1,4,45
"G1100010000801105","G1100010000801",60,0,0,0,0,0,60
"G1100010000801106","G1100010000801",3,0,0,0,0,0,3
"G1100010000801107","G1100010000801",248,10,0,13,13,13,297
"G1100010000801108","G1100010000801",18,0,0,1,1,0,20
"G1100010000801109","G1100010000801",11,0,0,0,0,0,11
"G1100010000801110","G1100010000801",38,0,1,1,1,4,45
"G1100010000801201","G1100010000801",159,5,0,0,0,7,171
"G1100010000801401","G1100010000801",262,49,1,10,10,22,354
"G1100010000801402","G1100010000801",19,1,0,0,0,1,21
"G1100010000801403","G1100010000801",232,30,0,11,11,9,293
"G1100010000801404","G1100010000801",0,0,0,0,0,0,0
"G1100010000801405","G1100010000801",24,0,0,4,4,0,32
"G1100010000801406","G1100010000801",93,1,1,3,3,4,105
"G1100010000801407","G1100010000801",59,0,0,4,4,1,68
"G1100010000801409","G1100010000801",13,0,0,1,1,3,18
"G1100010000801410","G1100010000801",23,0,0,1,1,4,29
"G1100010000801501","G1100010000801",37,1,0,1,1,2,42
"G1100010000801502","G1100010000801",93,3,0,0,0,1,97
"G1100010000801503","G1100010000801",76,0,0,0,0,1,77
"G1100010000801504","G1100010000801",17,0,0,0,0,1,18
"G1100010000801505","G1100010000801",155,0,0,13,13,6,187
"G1100010000801506","G1100010000801",13,0,0,0,0,1,14
"G1100010000801507","G1100010000801",23,0,0,0,0,0,23
"G1100010000801508","G1100010000801",70,1,0,0,0,8,79
"G1100010000801520","G1100010000801",98,1,1,6,6,13,125
"G1100010000801521","G1100010000801",200,5,0,9,9,16,239
"G1100010000801601","G1100010000801",42,0,0,2,2,2,48
"G1100010000801602","G1100010000801",31,0,0,2,2,0,35
"G1100010000801603","G1100010000801",28,3,0,1,1,1,34
"G1100010000801604","G1100010000801",41,0,0,0,0,1,42
"G1100010000801605","G1100010000801",39,0,0,1,1,1,42
"G1100010000801606","G1100010000801",51,0,0,1,1,5,58
"G1100010000801607","G1100010000801",52,0,0,1,1,4,58
"G1100010000801608","G1100010000801",50,0,0,0,0,3,53
"G1100010000801609","G1100010000801",56,3,0,1,1,0,61
"G1100010000801611","G1100010000801",23,0,0,1,1,5,30
"G1100010000801612","G1100010000801",69,1,0,2,2,0,74
"G1100010000801613","G1100010000801",1,0,0,0,0,0,1
"G1100010000801614","G1100010000801",63,0,0,1,1,1,66
"G1100010000801615","G1100010000801",67,0,0,1,1,1,70
"G1100010000801616","G1100010000801",30,1,0,2,2,0,35
"G1100010000801617","G1100010000801",62,6,0,0,0,2,70
"G1100010000802201","G1100010000802",25,0,0,3,3,9,40
"G1100010000802202","G1100010000802",169,5,0,6,6,7,193
"G1100010000802204","G1100010000802",20,0,0,1,1,0,22
"G1100010000802205","G1100010000802",33,0,0,1,1,2,37
"G1100010000802206","G1100010000802",24,1,0,2,2,0,29
"G1100010000802207","G1100010000802",112,3,0,2,2,5,124
"G1100010000802209","G1100010000802",83,0,0,3,3,4,93
"G1100010000802210","G1100010000802",93,1,0,10,10,8,122
"G1100010000802211","G1100010000802",39,0,0,1,1,1,42
"G1100010000802214","G1100010000802",124,5,1,3,3,6,142
"G1100010000802215","G1100010000802",74,0,0,1,1,6,82
"G1100010000802220","G1100010000802",152,0,0,2,2,6,162
"G1100010000802301","G1100010000802",44,0,0,0,0,5,49
"G1100010000802302","G1100010000802",74,1,0,1,1,3,80
"G1100010000802303","G1100010000802",29,0,0,0,0,1,30
"G1100010000802304","G1100010000802",43,0,0,10,10,4,67
"G1100010000802305","G1100010000802",38,4,0,7,7,0,56
"G1100010000802306","G1100010000802",35,0,0,2,2,3,42
"G1100010000802307","G1100010000802",97,0,0,2,2,2,103
"G1100010000802308","G1100010000802",213,38,4,10,10,11,286
