"GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G11000100030",153,2154,9,7,3,316,2642
"G11000100031",42,2505,5,8,2,347,2909
"G11000100032",58,4449,12,13,9,320,4861
"G1100010003301",203,2825,6,15,0,52,3101
"G1100010003302",96,1849,1,7,0,38,1991
"G11000100034",89,4341,18,26,2,104,4580
"G11000100035",42,2018,4,4,3,151,2222
"G11000100036",214,3620,10,16,6,406,4272
"G11000100037",240,3915,13,56,24,1192,5440
"G11000100038",1302,2165,10,81,11,932,4501
"G11000100039",2063,1397,14,150,22,947,4593
"G1100010004001",2451,171,9,78,4,312,3025
"G1100010004002",1888,609,13,108,7,391,3016
"G11000100041",2318,119,6,142,6,208,2799
"G1100010004201",2074,920,8,95,18,549,3664
"G1100010004202",1840,305,13,130,6,312,2606
"G11000100043",963,1770,10,43,9,488,3283
"G11000100044",239,1192,0,19,2,294,1746
"G11000100045",79,1064,5,15,0,39,1202
"G11000100046",143,3298,8,27,8,139,3623
"G11000100047",164,4252,23,81,2,33,4555
"G1100010004801",130,1900,1,40,2,82,2155
"G1100010004802",220,2658,1,132,1,78,3090
"G1100010004901",190,1714,7,14,1,68,1994
"G1100010004902",174,972,6,16,4,402,1574
"G11000100050",1374,3818,20,209,17,1014,6452
"G11000100051",557,298,3,62,0,75,995
"G1100010005210",2209,1673,12,183,11,392,4480
"G1100010005220",296,171,1,92,3,179,742
"G1100010005301",3245,571,9,265,25,972,5087
"G1100010005302",150,17,0,7,0,10,184
"G1100010005401",840,80,5,80,2,81,1088
"G1100010005402",2,0,0,0,0,0,2
"G1100010005501",2142,277,8,159,3,155,2744
"G1100010005502",1177,37,4,33,3,75,1329
"G11000100056",3859,243,10,265,2,279,4658
"G1100010005701",4285,249,9,423,8,182,5156
"G1100010005702",8,6,0,0,0,2,16
"G11000100058",67,154,3,519,0,44,787
"G11000100059",204,1637,8,39,1,67,1956
"G1100010006001",884,998,9,54,12,116,2073
"G1100010006020",5,771,0,0,0,15,791
"G11000100061",999,881,5,87,4,82,2058
"G1100010006201",47,0,0,1,0,3,51
"G1100010006202",32,17,0,0,0,6,55
"G1100010006301",1813,1724,14,54,13,105,3723
"G1100010006302",266,55,1,5,0,23,350
"G1100010006410",44,2419,10,8,0,35,2516
"G1100010006510",2042,239,3,54,2,56,2396
"G11000100066",1583,109,8,39,0,52,1791
"G1100010006710",2315,1041,9,48,3,64,3480
"G1100010006801",161,2199,1,10,0,47,2418
"G1100010006802",287,2010,4,20,0,33,2354
"G1100010006804",166,2880,9,7,2,118,3182
"G11000100069",775,1213,12,28,2,48,2078
"G1100010007010",1535,472,13,46,1,83,2150
"G11000100071",306,2448,11,24,4,87,2880
"G11000100072",359,1704,5,5,2,14,2089
"G1100010007301",4223,2603,33,384,9,515,7767
"G1100010007302",138,3968,7,26,7,31,4177
"G1100010007304",49,4372,10,9,3,32,4475
"G1100010007308",90,610,1,1,0,7,709
"G1100010007401",11,2664,2,2,0,4,2683
"G1100010007404",11,4093,5,1,0,4,4114
"G1100010007406",6,2382,2,0,0,13,2403
"G1100010007407",11,3104,2,4,3,23,3147
"G1100010007408",40,3001,0,0,0,28,3069
"G1100010007409",13,2935,1,13,2,17,2981
"G1100010007430",5,2423,1,5,0,15,2449
"G1100010007502",80,4258,11,3,2,40,4394
"G1100010007503",82,2887,0,23,2,24,3018
"G1100010007504",79,2567,2,9,0,14,2671
"G1100010007601",210,4944,11,16,7,38,5226
"G1100010007603",749,3555,4,36,9,116,4469
"G1100010007604",233,3976,8,12,1,57,4287
"G1100010007605",72,3774,4,7,2,19,3878
"G1100010007703",41,5525,11,4,0,83,5664
"G1100010007707",38,4127,2,6,7,18,4198
"G1100010007708",27,2845,6,1,0,12,2891
"G1100010007709",97,2192,3,5,5,41,2343
"G1100010007803",15,4030,7,4,2,18,4076
"G1100010007804",34,3557,11,3,0,17,3622
"G1100010007807",14,2150,10,2,4,35,2215
"G1100010007808",13,4700,10,10,9,27,4769
"G1100010007809",11,2779,2,1,0,8,2801
"G1100010007860",18,2338,10,4,3,12,2385
"G1100010007901",61,3787,1,6,0,24,3879
"G1100010007903",19,1966,6,2,0,22,2015
"G1100010008001",484,2417,3,21,8,18,2951
"G1100010008002",845,2671,8,13,4,40,3581
"G1100010008110",1424,1190,4,43,3,72,2736
"G11000100082",2363,195,8,55,5,69,2695
"G1100010008301",1300,955,4,35,1,51,2346
"G1100010008302",1024,869,6,17,0,48,1964
"G1100010008402",553,2109,11,23,1,66,2763
"G1100010008410",65,1614,1,5,3,26,1714
"G1100010008510",148,3414,8,22,1,73,3666
"G11000100086",7,141,0,0,0,9,157
"G1100010008701",43,2709,4,16,1,30,2803
"G1100010008702",31,2018,2,2,0,42,2095
"G1100010008802",37,4680,5,8,0,42,4772
"G1100010008803",453,1636,0,40,8,47,2184
"G1100010008804",15,3052,5,8,0,14,3094
"G1100010008903",14,3306,6,13,0,18,3357
"G1100010008904",20,3794,6,0,6,37,3863
"G1100010009001",30,2108,4,3,3,34,2182
"G1100010009002",44,1378,1,9,2,19,1453
"G1100010009102",42,4767,10,5,3,20,4847
"G1100010009110",187,3327,18,9,9,64,3614
"G1100010009203",100,3022,4,11,5,72,3214
"G1100010009210",669,991,1,20,4,66,1751
"G1100010009240",35,2340,4,3,3,44,2429
"G1100010009301",714,2662,6,69,3,128,3582
"G1100010009302",60,1533,5,4,0,34,1636
"G1100010009410",248,4296,10,15,4,54,4627
"G1100010009501",2077,3523,25,71,3,170,5869
"G1100010009503",433,2716,3,19,4,45,3220
"G1100010009505",145,2919,5,20,4,39,3132
"G1100010009507",23,1643,3,2,5,10,1686
"G1100010009508",58,2995,7,6,1,14,3081
"G1100010009509",73,3143,10,17,8,20,3271
"G1100010009540",795,2285,6,58,2,81,3227
"G1100010009601",16,1375,6,2,0,0,1399
"G1100010009602",11,2456,1,0,0,4,2472
"G1100010009603",24,3254,16,4,3,30,3331
"G1100010009604",13,2230,2,1,0,18,2264
"G11000100097",7,4379,10,2,1,14,4413
"G1100010009803",37,2732,1,5,5,31,2811
"G1100010009804",9,2752,3,5,0,12,2781
"G1100010009805",47,1289,4,6,0,7,1353
"G1100010009806",41,5823,9,1,1,46,5921
"G1100010009807",78,3248,4,24,0,30,3384
"G1100010009808",17,2325,0,2,4,32,2380
"G1100010009809",263,1232,5,9,1,31,1541
"G1100010009810",13,2571,0,1,2,68,2655
"G1100010009820",5,2184,13,3,0,4,2209
"G1100010009901",224,2379,6,9,2,18,2638
"G1100010009902",74,3186,16,2,1,16,3295
"G1100010009903",2,3122,2,0,1,10,3137
"G1100010009904",8,3298,5,0,1,11,3323
"G1100010009905",11,3148,2,2,0,6,3169
"G1100010009906",10,1928,0,0,1,14,1953
"G1100010009907",10,3077,4,1,0,5,3097
