"GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G11000100001",4175,147,3,145,3,233,4706
"G1100010000201",2860,371,7,315,17,266,3836
"G1100010000202",3267,60,6,121,4,181,3639
"G1100010000310",5046,186,8,208,6,284,5738
"G11000100004",1073,48,5,78,1,114,1319
"G1100010000501",2332,143,1,107,8,183,2774
"G1100010000502",3205,120,5,132,4,350,3816
"G11000100006",3954,408,5,157,8,428,4960
"G1100010000701",3658,204,6,174,1,535,4578
"G1100010000720",2569,187,2,229,11,322,3320
"G1100010000801",5205,207,4,189,4,319,5928
"G1100010000802",2308,102,7,110,1,163,2691
"G1100010000901",5779,285,7,341,16,416,6844
"G1100010000902",1732,91,0,64,0,68,1955
"G1100010001001",5452,258,2,246,6,356,6320
"G1100010001002",2701,263,6,250,10,304,3534
"G11000100011",3868,161,5,185,7,189,4415
"G11000100012",3936,261,9,213,6,401,4826
"G1100010001301",3139,266,5,128,3,152,3693
"G1100010001302",4838,419,11,271,18,419,5976
"G1100010001401",2607,152,4,148,6,160,3077
"G1100010001402",2289,313,2,105,3,151,2863
"G11000100015",4694,596,9,118,13,140,5570
"G11000100016",1144,3185,8,57,15,76,4485
"G1100010001701",317,2473,7,66,5,119,2987
"G1100010001702",489,1978,14,32,3,88,2604
"G1100010001801",358,313,6,15,2,71,765
"G1100010001803",211,2318,9,18,2,185,2743
"G1100010001804",106,3616,21,15,17,462,4237
"G1100010001901",111,4109,11,18,1,133,4383
"G1100010001902",123,2335,8,7,6,31,2510
"G1100010002001",439,1689,13,45,10,229,2425
"G1100010002002",387,3369,10,34,13,179,3992
"G1100010002101",56,4985,13,34,10,189,5287
"G1100010002102",76,4827,14,23,6,143,5089
"G1100010002201",58,3387,9,9,6,183,3652
"G1100010002202",54,3104,9,3,1,126,3297
"G1100010002301",59,3193,2,7,2,80,3343
"G1100010002302",2482,1753,9,42,1,130,4417
"G11000100024",113,3539,2,19,7,205,3885
"G1100010002501",212,1918,4,8,5,242,2389
"G1100010002502",137,3958,6,21,19,705,4846
"G11000100026",693,1499,4,42,4,50,2292
"G1100010002701",1664,1957,6,264,28,1031,4950
"G1100010002702",2212,1910,14,110,25,1971,6242
"G1100010002801",147,2143,5,83,13,1032,3423
"G1100010002802",325,1935,10,225,19,2256,4770
"G11000100029",93,3361,6,14,8,609,4091
