"GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G1100010007860",18,2338,10,4,4,12,2386
"G1100010007901",61,3787,1,6,6,24,3885
"G1100010007903",19,1966,6,2,2,22,2017
"G1100010008001",484,2417,3,21,21,18,2964
"G1100010008002",845,2671,8,13,13,40,3590
"G1100010008110",1424,1190,4,43,43,72,2776
"G11000100082",2363,195,8,55,55,69,2745
"G1100010008301",1300,955,4,35,35,51,2380
"G1100010008302",1024,869,6,17,17,48,1981
"G1100010008402",553,2109,11,23,23,66,2785
"G1100010008410",65,1614,1,5,5,26,1716
"G1100010008510",148,3414,8,22,22,73,3687
"G11000100086",7,141,0,0,0,9,157
"G1100010008701",43,2709,4,16,16,30,2818
"G1100010008702",31,2018,2,2,2,42,2097
"G1100010008802",37,4680,5,8,8,42,4780
"G1100010008803",453,1636,0,40,40,47,2216
"G1100010008804",15,3052,5,8,8,14,3102
"G1100010008903",14,3306,6,13,13,18,3370
"G1100010008904",20,3794,6,0,0,37,3857
"G1100010009001",30,2108,4,3,3,34,2182
"G1100010009002",44,1378,1,9,9,19,1460
"G1100010009102",42,4767,10,5,5,20,4849
"G1100010009110",187,3327,18,9,9,64,3614
"G1100010009203",100,3022,4,11,11,72,3220
"G1100010009210",669,991,1,20,20,66,1767
"G1100010009240",35,2340,4,3,3,44,2429
"G1100010009301",714,2662,6,69,69,128,3648
"G1100010009302",60,1533,5,4,4,34,1640
"G1100010009410",248,4296,10,15,15,54,4638
"G1100010009501",2077,3523,25,71,71,170,5937
"G1100010009503",433,2716,3,19,19,45,3235
"G1100010009505",145,2919,5,20,20,39,3148
"G1100010009507",23,1643,3,2,2,10,1683
"G1100010009508",58,2995,7,6,6,14,3086
"G1100010009509",73,3143,10,17,17,20,3280
"G1100010009540",795,2285,6,58,58,81,3283
"G1100010009601",16,1375,6,2,2,0,1401
"G1100010009602",11,2456,1,0,0,4,2472
"G1100010009603",24,3254,16,4,4,30,3332
"G1100010009604",13,2230,2,1,1,18,2265
"G11000100097",7,4379,10,2,2,14,4414
"G1100010009803",37,2732,1,5,5,31,2811
"G1100010009804",9,2752,3,5,5,12,2786
"G1100010009805",47,1289,4,6,6,7,1359
"G1100010009806",41,5823,9,1,1,46,5921
"G1100010009807",78,3248,4,24,24,30,3408
"G1100010009808",17,2325,0,2,2,32,2378
"G1100010009809",263,1232,5,9,9,31,1549
"G1100010009810",13,2571,0,1,1,68,2654
"G1100010009820",5,2184,13,3,3,4,2212
"G1100010009901",224,2379,6,9,9,18,2645
"G1100010009902",74,3186,16,2,2,16,3296
"G1100010009903",2,3122,2,0,0,10,3136
"G1100010009904",8,3298,5,0,0,11,3322
"G1100010009905",11,3148,2,2,2,6,3171
"G1100010009906",10,1928,0,0,0,14,1952
"G1100010009907",10,3077,4,1,1,5,3098
